id,name,code,stock,price,category,createdAt,updatedAt
VER1,Tomate,TOMATE,170,30,VERDURAS,2025-10-24 11:55:40,2025-10-24 11:55:40
VER2,Papa,PAPA,2000,300,VERDURAS,2025-10-24 11:56:12,2025-10-24 11:56:12
FRU1,Manzana,MANZANA,150,250,FRUTAS,2025-10-24 11:57:00,2025-10-24 11:57:00
FRU2,Banana,BANANA,180,180,FRUTAS,2025-10-24 11:57:15,2025-10-24 11:57:15
PAN1,Pan frances,PAN_FRANCES,120,500,PANADERIA,2025-10-24 11:57:40,2025-10-24 11:57:40
LAC1,Leche entera,LECHE_ENTERA,300,950,LACTEOS,2025-10-24 11:58:00,2025-10-24 11:58:00
FIA1,Queso cremoso,QUESO_CREMOSO,100,1800,FIAMBRES,2025-10-24 11:58:30,2025-10-24 11:58:30
BEB1,Coca Cola 1.5L,COCA_COLA_1_5L,250,1500,BEBIDAS SIN ALCOHOL,2025-10-24 11:59:00,2025-10-24 11:59:00
BEB2,Vino tinto,VINO_TINTO,80,4200,BEBIDAS ALCOHOLICAS,2025-10-24 11:59:25,2025-10-24 11:59:25
SNA1,Papas fritas,PAPAS_FRITAS,500,800,SNACKS,2025-10-24 12:00:00,2025-10-24 12:00:00
ENL1,Atun en lata,ATUN_EN_LATA,300,950,ENLATADOS,2025-10-24 12:00:25,2025-10-24 12:00:25
PAS1,Fideos tallarin,FIDEOS_TALLARIN,400,650,PASTAS SECAS,2025-10-24 12:01:00,2025-10-24 12:01:00
ACE1,Aceite de girasol,ACEITE_DE_GIRASOL,150,1800,ACEITES Y CONDIMENTOS,2025-10-24 12:01:25,2025-10-24 12:01:25
ESP1,Sal fina,SAL_FINA,600,400,ESPECIAS,2025-10-24 12:01:45,2025-10-24 12:01:45
LIM1,Detergente liquido,DETERGENTE_LIQUIDO,350,1200,PRODUCTOS DE LIMPIEZA,2025-10-24 12:02:15,2025-10-24 12:02:15
HIG1,Shampoo anticaspa,SHAMPOO_ANTICASPA,200,2300,HIGIENE PERSONAL,2025-10-24 12:02:40,2025-10-24 12:02:40
PER1,Desodorante aerosol,DESODORANTE_AEROSOL,180,1500,PERFUMERIA,2025-10-24 12:03:00,2025-10-24 12:03:00
MAS1,Collar para perro,COLLAR_PARA_PERRO,60,3500,MASCOTAS,2025-10-24 12:03:25,2025-10-24 12:03:25
FER1,Martillo,MARTILLO,100,4200,FERRETERIA,2025-10-24 12:03:50,2025-10-24 12:03:50
ILU1,Lampara LED,LAMPARA_LED,129,2700,ILUMINACION,2025-10-24 12:04:15,2025-10-24 12:04:15
